epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,9966.11,0.48455,0.40011,0.93702,0.85719,0.83143,0.85128,0.65958,0.82893,0.64822,0.92018,9.55951e-05,9.55951e-05,9.55951e-05
83,10086.7,0.48895,0.39242,0.93405,0.88582,0.78989,0.843,0.65183,0.82425,0.67603,0.91722,8.70577e-05,8.70577e-05,8.70577e-05
84,10206.5,0.48567,0.39268,0.932,0.86772,0.82013,0.85231,0.665,0.81578,0.64149,0.91565,7.89327e-05,7.89327e-05,7.89327e-05
85,10326.1,0.48026,0.38731,0.92811,0.85972,0.82037,0.85016,0.66197,0.82384,0.65604,0.91909,7.12282e-05,7.12282e-05,7.12282e-05
86,10444.5,0.48855,0.39292,0.93442,0.83369,0.83147,0.849,0.65856,0.83914,0.66113,0.93088,6.39518e-05,6.39518e-05,6.39518e-05
87,125.333,0.47227,0.38185,0.92489,0.8577,0.80628,0.84686,0.65895,0.89163,0.683,0.96258,5.71106e-05,5.71106e-05,5.71106e-05
88,240.153,0.47224,0.38857,0.92524,0.83972,0.83432,0.8506,0.66612,0.8854,0.6731,0.96001,5.07115e-05,5.07115e-05,5.07115e-05
89,353.004,0.47756,0.38456,0.93121,0.86113,0.81548,0.85222,0.66461,0.88971,0.6665,0.96434,4.47606e-05,4.47606e-05,4.47606e-05
90,467.142,0.47946,0.38374,0.93055,0.86364,0.81237,0.84753,0.66223,0.88549,0.6734,0.96056,3.9264e-05,3.9264e-05,3.9264e-05
91,585.272,0.64491,0.47644,0.97341,0.84121,0.80322,0.82853,0.63994,0.89724,0.72121,0.96964,3.4227e-05,3.4227e-05,3.4227e-05
92,692.453,0.6211,0.42219,0.95713,0.82935,0.80586,0.83028,0.64482,0.89485,0.71857,0.97027,2.96546e-05,2.96546e-05,2.96546e-05
93,800.484,0.6314,0.44692,0.95942,0.8537,0.78371,0.8241,0.63872,0.89354,0.71477,0.96823,2.55513e-05,2.55513e-05,2.55513e-05
94,906.887,0.61005,0.4118,0.95464,0.83429,0.81734,0.83454,0.64885,0.89289,0.71488,0.96813,2.19212e-05,2.19212e-05,2.19212e-05
95,1012.41,0.61968,0.42994,0.9563,0.85186,0.81906,0.83596,0.64999,0.88713,0.70689,0.96472,1.87678e-05,1.87678e-05,1.87678e-05
96,1119.71,0.62295,0.42979,0.9581,0.86594,0.80857,0.84839,0.65954,0.88415,0.69081,0.95842,1.60943e-05,1.60943e-05,1.60943e-05
97,1226.71,0.621,0.42166,0.95688,0.87463,0.80556,0.84501,0.65703,0.8854,0.69336,0.96135,1.39032e-05,1.39032e-05,1.39032e-05
98,1332.85,0.61838,0.42001,0.95435,0.87533,0.80704,0.84495,0.6581,0.8851,0.69551,0.96189,1.21968e-05,1.21968e-05,1.21968e-05
99,1438.38,0.60238,0.39311,0.94778,0.86911,0.80938,0.84107,0.65691,0.88468,0.69418,0.96096,1.09768e-05,1.09768e-05,1.09768e-05
100,1544.3,0.60966,0.41207,0.95419,0.86477,0.8125,0.83693,0.6534,0.88478,0.69489,0.96288,1.02443e-05,1.02443e-05,1.02443e-05
